src_id,dst_id
0,142
0,8059
0,8120
0,205
0,498
0,8246
0,8252
0,8303
0,8446
0,8479
0,8491
1,8027
1,8146
1,8360
1,8484
1,8551
2,1408
3,8000
3,6345
3,297
4,7964
4,8147
4,1304
4,8245
4,8253
4,8262
4,2678
4,1404
4,130
4,8343
4,8372
4,8415
4,8434
4,232
5,7968
5,8116
5,173
6,8313
7,1114
7,8250
7,949
8,8133
8,8172
9,7966
9,285
9,8089
9,8176
9,940
9,8231
9,8280
9,8324
9,8353
9,965
9,8448
10,951
11,8134
12,7965
12,7986
12,8001
12,8006
12,290
12,932
12,8023
12,8029
12,1407
12,8034
12,8038
12,8056
12,305
12,8073
12,8074
12,8078
12,8085
12,8090
12,8092
12,8113
12,694
12,8119
12,8121
12,8123
12,1828
12,151
12,8137
12,8157
12,3362
12,6145
12,8213
12,8220
12,8222
12,8225
12,2045
12,8673
12,8266
12,6460
12,8269
12,8270
12,8287
12,8289
12,8302
12,968
12,8332
12,8335
12,1082
12,8362
12,8367
12,623
12,2340
12,149
12,8396
12,773
12,8401
12,869
12,8426
12,8429
12,8432
12,8433
12,8435
12,8438
12,8447
12,12
12,8466
12,690
12,211
12,8482
12,8488
12,8496
12,8501
12,8504
12,8543
12,693
12,204
12,8576
12,8577
